Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Toyota Corolla,2021,5.26,138124,Petrol,Dealer,Manual,0,3.38
Kia Seltos,2017,4.6,154336,Petrol,Dealer,Manual,3,2.52
Ford Figo,2021,8.04,73358,Petrol,Individual,Manual,2,3.93
Mahindra XUV500,2019,8.03,24016,Petrol,Individual,Manual,0,4.25
Mahindra XUV500,2013,4.82,96490,Petrol,Dealer,Automatic,2,1.27
Honda City,2014,13.2,176435,CNG,Dealer,Automatic,0,7.98
Maruti Alto,2013,4.52,33058,CNG,Dealer,Automatic,2,2.01
Hyundai Verna,2011,14.53,74201,CNG,Individual,Automatic,0,3.15
Hyundai Verna,2013,3.27,92439,Petrol,Individual,Manual,3,1.38
Honda City,2022,2.67,24724,CNG,Dealer,Manual,2,1.63
Hyundai i20,2018,4.73,85808,Diesel,Dealer,Automatic,1,2.75
Honda City,2016,16.15,111529,CNG,Dealer,Manual,1,10.87
Hyundai i20,2018,2.93,198085,Diesel,Individual,Manual,2,0.95
Toyota Corolla,2017,17.76,128388,Petrol,Dealer,Automatic,2,6.78
Ford Figo,2012,2.91,55627,Diesel,Individual,Automatic,0,1.64
Ford Figo,2016,13.73,109773,CNG,Individual,Manual,0,8.62
Maruti Alto,2010,12.66,74590,Petrol,Dealer,Automatic,2,5.41
Hyundai Verna,2018,13.11,139066,Petrol,Individual,Manual,2,3.51
Maruti Alto,2005,11.6,146151,CNG,Dealer,Automatic,3,1.71
Ford Figo,2015,14.11,37669,CNG,Individual,Automatic,3,5.11
Maruti Swift,2022,4.73,115217,CNG,Individual,Manual,2,2.42
Toyota Corolla,2014,7.52,117692,CNG,Individual,Automatic,3,2.98
Toyota Corolla,2021,10.78,197927,Petrol,Dealer,Automatic,2,3.49
Kia Seltos,2014,6.43,57200,Petrol,Dealer,Manual,1,4.01
Honda City,2007,10.47,170089,CNG,Dealer,Automatic,3,2.77
Toyota Corolla,2005,18.12,32941,Diesel,Dealer,Manual,3,2.57
Mahindra XUV500,2008,10.49,126803,CNG,Individual,Automatic,3,4.35
Ford Figo,2019,18.2,199944,Diesel,Individual,Automatic,1,12.44
Maruti Alto,2021,10.98,67716,Diesel,Individual,Manual,2,4.4
Toyota Corolla,2015,18.13,26122,Petrol,Dealer,Manual,3,9.48
Hyundai Verna,2007,9.76,91738,CNG,Individual,Automatic,0,2.03
Maruti Alto,2017,18.33,158112,CNG,Dealer,Automatic,3,4.4
Tata Nexon,2014,15.69,114843,CNG,Dealer,Automatic,1,5.09
Kia Seltos,2005,9.31,180341,CNG,Individual,Manual,3,3.41
Tata Nexon,2022,2.97,108290,CNG,Dealer,Manual,3,1.06
Hyundai Verna,2010,3.38,104379,Diesel,Dealer,Automatic,2,0.99
Maruti Swift,2013,15.66,115510,Diesel,Dealer,Automatic,0,7.86
Maruti Swift,2016,6.42,22987,CNG,Dealer,Manual,1,2.05
Maruti Alto,2009,6.67,129141,CNG,Dealer,Manual,3,2.64
Ford Figo,2010,13.1,193313,Petrol,Dealer,Automatic,0,4.92
Ford Figo,2023,14.35,103384,Diesel,Dealer,Manual,1,5.03
Maruti Alto,2008,16.43,153355,Petrol,Individual,Automatic,2,2.92
Hyundai Verna,2005,17.37,133503,Petrol,Individual,Automatic,3,5.41
Kia Seltos,2010,15.34,175513,Diesel,Individual,Automatic,3,7.08
Kia Seltos,2013,8.14,69355,Petrol,Individual,Automatic,1,4.09
Ford Figo,2017,8.39,134579,Diesel,Dealer,Automatic,1,3.4
Hyundai Verna,2015,7.39,161278,CNG,Individual,Manual,1,1.9
Hyundai i20,2020,12.22,67999,CNG,Individual,Automatic,3,8.34
Maruti Alto,2014,6.38,186347,Petrol,Individual,Automatic,3,2.82
Toyota Corolla,2018,19.94,149281,Diesel,Individual,Automatic,2,7.91
Ford Figo,2008,15.12,87719,Petrol,Dealer,Manual,1,5.84
Maruti Alto,2023,19.59,142530,CNG,Individual,Manual,1,9.08
Mahindra XUV500,2010,7.79,190602,CNG,Dealer,Automatic,0,4.0
Tata Nexon,2014,14.7,38103,CNG,Individual,Manual,0,6.63
Hyundai Verna,2020,10.21,53329,Petrol,Individual,Automatic,0,7.13
Ford Figo,2020,3.8,170005,CNG,Dealer,Manual,1,2.63
Tata Nexon,2007,19.89,36051,CNG,Individual,Manual,3,5.56
Ford Figo,2014,17.55,117415,Diesel,Dealer,Manual,1,8.3
Kia Seltos,2007,5.25,50564,CNG,Dealer,Manual,0,1.4
Ford Figo,2020,7.6,65680,Diesel,Individual,Automatic,0,4.76
Honda City,2023,14.07,56857,Diesel,Dealer,Manual,1,11.53
Ford Figo,2007,3.54,85638,CNG,Individual,Automatic,0,1.01
Hyundai Verna,2017,19.0,136195,CNG,Individual,Automatic,0,9.89
Honda City,2015,13.06,11780,Petrol,Dealer,Manual,2,6.16
Tata Nexon,2020,11.58,120927,Diesel,Dealer,Automatic,3,8.98
Tata Nexon,2016,9.65,89163,CNG,Dealer,Manual,2,4.01
Maruti Alto,2014,14.1,109976,CNG,Dealer,Automatic,0,4.82
Mahindra XUV500,2008,19.48,110952,CNG,Dealer,Automatic,3,3.37
Honda City,2016,13.4,135676,CNG,Individual,Manual,1,4.69
Ford Figo,2014,10.17,188042,Diesel,Dealer,Manual,1,5.17
Honda City,2022,2.74,111952,Petrol,Dealer,Manual,3,2.24
Toyota Corolla,2020,18.82,81509,CNG,Individual,Automatic,3,14.71
Hyundai Verna,2019,12.15,105554,Petrol,Dealer,Manual,2,7.89
Kia Seltos,2015,18.85,138100,Diesel,Dealer,Automatic,2,11.04
Mahindra XUV500,2020,17.64,122059,CNG,Individual,Automatic,2,9.8
Hyundai Verna,2017,10.47,89352,Petrol,Dealer,Automatic,1,6.73
Maruti Swift,2006,8.07,128987,CNG,Individual,Automatic,1,2.22
Tata Nexon,2009,11.29,159712,Diesel,Dealer,Automatic,0,3.82
Ford Figo,2005,15.14,112473,CNG,Dealer,Manual,3,5.01
Tata Nexon,2015,13.41,109197,CNG,Dealer,Automatic,3,8.54
Hyundai i20,2022,3.13,22936,Petrol,Individual,Manual,0,1.65
Ford Figo,2008,10.26,186928,Diesel,Dealer,Manual,2,4.15
Kia Seltos,2016,9.06,43160,Petrol,Individual,Manual,1,2.79
Tata Nexon,2017,13.34,68132,Diesel,Dealer,Manual,3,7.2
Kia Seltos,2013,14.17,126963,Diesel,Dealer,Manual,3,8.23
Hyundai Verna,2014,13.68,116230,CNG,Individual,Automatic,2,4.02
Hyundai Verna,2020,4.37,104972,CNG,Individual,Automatic,2,1.2
Toyota Corolla,2013,2.64,184778,CNG,Dealer,Automatic,2,1.35
Maruti Swift,2016,6.33,54841,CNG,Individual,Manual,0,4.05
Maruti Alto,2014,16.3,13746,CNG,Individual,Manual,0,9.65
Tata Nexon,2018,5.57,39644,CNG,Individual,Automatic,1,2.07
Toyota Corolla,2014,15.56,93792,Petrol,Individual,Manual,1,8.2
Hyundai i20,2017,19.43,151096,Diesel,Dealer,Automatic,0,7.04
Tata Nexon,2019,8.95,181250,Diesel,Individual,Automatic,0,5.36
Ford Figo,2005,13.34,152169,Diesel,Dealer,Manual,3,4.85
Mahindra XUV500,2018,4.54,16887,Petrol,Individual,Automatic,0,1.33
Tata Nexon,2009,9.3,102258,CNG,Individual,Manual,3,3.54
Toyota Corolla,2018,18.93,78332,Petrol,Individual,Manual,3,8.8
Hyundai i20,2016,4.24,184746,Diesel,Individual,Manual,3,1.5
Honda City,2019,4.1,60602,CNG,Dealer,Manual,2,1.55
Kia Seltos,2023,6.09,150282,Petrol,Dealer,Manual,2,4.52
Maruti Swift,2005,7.35,42929,Petrol,Individual,Manual,0,2.2
Honda City,2009,2.76,67372,CNG,Individual,Manual,1,0.7
Toyota Corolla,2018,11.71,21661,Diesel,Individual,Automatic,0,5.48
Tata Nexon,2006,15.23,177727,CNG,Individual,Automatic,0,2.36
Honda City,2017,9.96,33301,Diesel,Individual,Manual,0,3.88
Kia Seltos,2007,4.71,168661,CNG,Individual,Automatic,2,1.32
Hyundai Verna,2018,4.24,188967,Petrol,Dealer,Automatic,3,2.9
Ford Figo,2015,16.98,109524,Diesel,Dealer,Automatic,3,6.04
Hyundai i20,2016,19.19,185046,Diesel,Dealer,Manual,0,5.19
Hyundai Verna,2016,16.71,150849,Petrol,Individual,Manual,3,6.5
Tata Nexon,2006,19.45,162393,Diesel,Individual,Manual,1,3.51
Hyundai Verna,2012,17.33,96780,CNG,Individual,Manual,2,7.15
Ford Figo,2022,19.55,167981,CNG,Dealer,Automatic,0,7.5
Maruti Swift,2015,8.64,52554,Petrol,Individual,Manual,1,4.7
Ford Figo,2007,15.56,61395,Diesel,Individual,Automatic,2,3.01
Kia Seltos,2015,16.09,153791,CNG,Dealer,Manual,1,4.63
Toyota Corolla,2006,14.29,76330,Diesel,Individual,Automatic,3,3.61
Hyundai Verna,2021,4.49,117699,Petrol,Individual,Automatic,2,1.34
Maruti Swift,2006,2.63,84015,Petrol,Dealer,Automatic,2,0.6
Maruti Swift,2020,15.57,51057,Petrol,Individual,Manual,2,4.7
Hyundai Verna,2018,2.83,25411,Diesel,Individual,Automatic,3,1.1
Hyundai i20,2005,19.41,50055,CNG,Individual,Automatic,0,4.69
Toyota Corolla,2012,10.12,109975,CNG,Dealer,Automatic,2,4.84
Honda City,2015,16.13,25022,CNG,Dealer,Manual,2,6.01
Tata Nexon,2012,4.3,72100,Petrol,Dealer,Manual,0,1.12
Tata Nexon,2019,15.7,156904,Diesel,Individual,Automatic,1,7.52
Tata Nexon,2019,13.55,77004,CNG,Dealer,Automatic,0,5.6
Maruti Swift,2006,3.5,80255,Petrol,Dealer,Automatic,3,1.04
Maruti Swift,2019,18.41,154856,CNG,Dealer,Automatic,3,9.4
Tata Nexon,2019,4.31,95030,CNG,Dealer,Manual,0,1.64
Maruti Alto,2019,11.67,164856,Petrol,Individual,Automatic,2,5.28
Hyundai Verna,2006,16.31,174687,Diesel,Dealer,Automatic,0,4.76
Honda City,2014,6.91,177114,CNG,Dealer,Automatic,0,3.14
Hyundai Verna,2016,7.93,176980,CNG,Individual,Manual,0,2.93
Ford Figo,2015,16.73,180666,CNG,Dealer,Automatic,2,3.8
Ford Figo,2010,19.15,94583,Diesel,Dealer,Manual,1,4.36
Honda City,2008,11.38,146497,CNG,Dealer,Automatic,1,3.9
Toyota Corolla,2010,5.66,186625,CNG,Dealer,Automatic,0,1.79
Toyota Corolla,2019,13.19,122683,Petrol,Dealer,Automatic,3,9.44
Hyundai Verna,2016,14.37,154532,Diesel,Individual,Automatic,3,6.57
Mahindra XUV500,2010,16.8,163508,Petrol,Individual,Manual,3,8.03
Mahindra XUV500,2008,14.95,140242,Petrol,Individual,Manual,1,3.6
Hyundai Verna,2009,17.04,29042,Petrol,Individual,Automatic,0,5.14
Hyundai i20,2021,9.04,106231,Petrol,Individual,Manual,0,4.04
Tata Nexon,2015,16.35,41070,Petrol,Individual,Automatic,1,9.01
Kia Seltos,2019,13.27,25768,Petrol,Individual,Manual,1,7.1
Kia Seltos,2021,9.91,80524,Petrol,Individual,Manual,0,4.0
Maruti Swift,2019,3.6,136027,CNG,Dealer,Manual,1,1.45
Mahindra XUV500,2016,6.71,114200,Petrol,Dealer,Automatic,0,4.45
Hyundai Verna,2021,16.26,138070,CNG,Dealer,Automatic,3,4.83
Hyundai i20,2016,6.94,9257,Diesel,Dealer,Automatic,1,3.9
Honda City,2023,15.37,92167,Petrol,Dealer,Automatic,2,11.75
Tata Nexon,2019,19.66,130444,CNG,Dealer,Manual,0,12.19
Mahindra XUV500,2006,7.64,16483,Petrol,Dealer,Automatic,2,2.14
Maruti Alto,2020,6.93,174581,Petrol,Individual,Automatic,0,5.0
Honda City,2013,4.68,101474,Diesel,Individual,Automatic,3,1.58
Kia Seltos,2020,14.61,101297,CNG,Individual,Manual,3,4.47
Kia Seltos,2010,12.05,89203,Petrol,Dealer,Automatic,2,3.38
Hyundai Verna,2018,5.42,121367,Diesel,Individual,Manual,2,2.97
Honda City,2013,13.69,20036,Petrol,Individual,Automatic,1,8.0
Maruti Swift,2019,3.11,22624,Petrol,Individual,Automatic,3,2.3
Hyundai Verna,2009,14.38,102246,Diesel,Individual,Manual,1,4.89
Mahindra XUV500,2015,13.87,70434,Petrol,Dealer,Manual,3,6.18
Tata Nexon,2008,7.08,73233,CNG,Individual,Manual,2,2.64
Maruti Alto,2011,4.65,24412,Diesel,Dealer,Automatic,0,2.23
Honda City,2016,14.92,149178,CNG,Individual,Automatic,1,8.24
Mahindra XUV500,2016,11.4,36814,Petrol,Dealer,Manual,3,2.74
Tata Nexon,2023,8.96,149610,Petrol,Dealer,Manual,2,4.68
Tata Nexon,2021,9.69,112330,CNG,Dealer,Manual,2,6.04
Maruti Swift,2019,14.4,95312,Petrol,Dealer,Manual,3,7.37
Mahindra XUV500,2008,11.57,84724,Petrol,Dealer,Automatic,1,3.05
Hyundai i20,2014,17.3,70694,Petrol,Individual,Manual,2,8.1
Kia Seltos,2021,13.72,160139,CNG,Dealer,Manual,2,10.06
Hyundai Verna,2006,16.94,12437,Petrol,Dealer,Automatic,1,5.92
Hyundai Verna,2005,11.22,169407,CNG,Individual,Automatic,3,2.16
Toyota Corolla,2014,10.44,185515,Petrol,Dealer,Automatic,3,4.32
Maruti Alto,2015,13.12,86941,CNG,Individual,Automatic,3,3.62
Honda City,2021,12.33,88654,Petrol,Individual,Manual,2,6.39
Kia Seltos,2008,3.39,105702,CNG,Individual,Manual,1,1.39
Hyundai i20,2015,5.82,46770,Diesel,Individual,Automatic,2,2.54
Kia Seltos,2017,11.35,68105,Petrol,Individual,Manual,0,4.2
Hyundai Verna,2020,7.5,7143,Petrol,Individual,Manual,2,4.86
Mahindra XUV500,2016,3.29,18410,CNG,Dealer,Automatic,2,0.86
Maruti Alto,2019,15.88,78327,CNG,Dealer,Manual,0,7.24
Maruti Alto,2022,18.93,42818,Petrol,Individual,Manual,0,5.75
Kia Seltos,2020,11.59,44043,CNG,Dealer,Automatic,2,4.05
Maruti Alto,2014,12.89,137989,CNG,Individual,Automatic,3,7.12
Kia Seltos,2015,14.29,114193,CNG,Individual,Manual,3,4.79
Toyota Corolla,2023,6.48,18462,CNG,Individual,Manual,3,2.44
Honda City,2006,12.52,188637,Petrol,Dealer,Manual,3,2.81
Mahindra XUV500,2018,14.58,112577,CNG,Individual,Manual,1,7.31
Mahindra XUV500,2015,19.97,130402,CNG,Individual,Automatic,1,8.39
Ford Figo,2015,12.06,182174,CNG,Individual,Automatic,1,7.7
Mahindra XUV500,2022,7.72,83017,Diesel,Dealer,Automatic,2,4.27
Honda City,2013,7.54,155333,CNG,Individual,Automatic,2,4.41
Toyota Corolla,2014,3.24,192207,Petrol,Individual,Automatic,2,1.7
Kia Seltos,2011,16.99,76075,CNG,Individual,Manual,0,6.94
Maruti Alto,2012,6.74,180592,CNG,Dealer,Manual,0,1.55
Toyota Corolla,2020,4.26,41036,Petrol,Dealer,Automatic,3,2.2
Honda City,2014,8.12,174318,Petrol,Dealer,Manual,0,4.82
Ford Figo,2018,17.94,51081,Petrol,Individual,Automatic,1,12.68
Mahindra XUV500,2006,2.66,153887,CNG,Dealer,Automatic,2,0.7
Maruti Alto,2021,11.14,40179,CNG,Individual,Automatic,1,7.96
Kia Seltos,2010,15.29,174944,Diesel,Dealer,Manual,2,6.87
Hyundai i20,2011,5.57,172438,Diesel,Individual,Automatic,0,1.84
Tata Nexon,2010,19.68,130161,Diesel,Dealer,Manual,2,6.05
Maruti Swift,2013,19.2,84153,CNG,Dealer,Automatic,2,9.21
Toyota Corolla,2008,10.64,46868,Diesel,Individual,Manual,2,2.88
Tata Nexon,2012,19.25,130352,Petrol,Individual,Automatic,3,8.88
Kia Seltos,2022,16.53,62255,Petrol,Dealer,Automatic,2,5.39
Mahindra XUV500,2008,3.58,148562,CNG,Dealer,Manual,1,0.92
Tata Nexon,2019,4.53,58844,CNG,Individual,Manual,3,3.02
Hyundai Verna,2009,11.48,124746,CNG,Dealer,Automatic,2,4.63
Hyundai i20,2013,16.79,62121,CNG,Dealer,Manual,3,5.7
Honda City,2022,19.9,23092,Diesel,Dealer,Automatic,3,7.63
Mahindra XUV500,2018,9.05,105264,Diesel,Individual,Automatic,0,5.27
Toyota Corolla,2009,13.94,96165,Petrol,Dealer,Automatic,1,5.65
Maruti Alto,2005,15.73,83214,Diesel,Individual,Automatic,1,3.03
Hyundai i20,2009,7.32,195060,Petrol,Dealer,Automatic,0,1.79
Toyota Corolla,2008,12.89,122031,CNG,Dealer,Manual,0,3.63
Maruti Alto,2022,6.3,19796,Petrol,Individual,Manual,2,3.83
Mahindra XUV500,2012,7.78,42554,CNG,Dealer,Automatic,2,2.32
Hyundai Verna,2023,17.89,50910,CNG,Individual,Automatic,0,15.33
Mahindra XUV500,2021,8.08,114137,Diesel,Dealer,Automatic,3,3.02
Hyundai Verna,2020,6.72,64072,Diesel,Dealer,Automatic,0,3.77
Tata Nexon,2022,11.77,106821,Petrol,Individual,Manual,2,7.61
Kia Seltos,2016,4.12,194945,Petrol,Dealer,Automatic,3,2.21
Maruti Alto,2006,17.79,54325,CNG,Dealer,Automatic,1,6.72
Kia Seltos,2014,19.25,9019,Petrol,Dealer,Manual,3,11.44
Maruti Alto,2011,9.44,67739,CNG,Individual,Automatic,3,3.34
Maruti Alto,2014,7.08,139431,Diesel,Individual,Manual,3,3.75
Kia Seltos,2011,8.99,113509,Petrol,Dealer,Manual,0,2.5
Toyota Corolla,2023,15.1,82382,Petrol,Dealer,Automatic,1,7.73
Maruti Alto,2020,12.14,184528,Diesel,Individual,Automatic,3,6.16
Hyundai i20,2010,4.95,148273,Diesel,Dealer,Manual,0,2.31
Mahindra XUV500,2006,15.88,113106,Petrol,Dealer,Manual,1,2.23
Mahindra XUV500,2019,9.03,166961,CNG,Individual,Automatic,0,2.33
Hyundai Verna,2018,2.71,143783,CNG,Individual,Automatic,0,1.34
Ford Figo,2010,4.37,30248,CNG,Dealer,Manual,1,1.7
Toyota Corolla,2016,7.18,109044,Petrol,Individual,Automatic,3,3.49
Mahindra XUV500,2014,14.47,26133,CNG,Dealer,Manual,3,5.34
Maruti Alto,2020,3.48,7477,CNG,Dealer,Manual,3,2.47
Kia Seltos,2023,19.6,29998,CNG,Dealer,Manual,1,15.98
Maruti Alto,2020,7.24,24489,CNG,Individual,Manual,1,5.46
Toyota Corolla,2005,19.33,158887,Petrol,Individual,Manual,2,3.3
Hyundai i20,2023,17.11,107015,CNG,Individual,Automatic,1,12.85
Maruti Alto,2021,15.55,95664,Petrol,Dealer,Automatic,1,11.37
Mahindra XUV500,2017,19.46,90557,Petrol,Individual,Automatic,3,6.72
Hyundai i20,2017,10.06,183177,CNG,Individual,Manual,2,6.19
Hyundai i20,2007,7.19,104614,CNG,Dealer,Automatic,2,1.82
Hyundai Verna,2005,19.0,121584,Diesel,Individual,Manual,1,2.88
Hyundai i20,2019,12.25,139333,Diesel,Dealer,Manual,0,5.33
Mahindra XUV500,2015,17.62,8235,Diesel,Individual,Automatic,0,9.45
Ford Figo,2012,12.51,49455,CNG,Individual,Manual,1,3.69
Hyundai i20,2020,5.05,48832,Diesel,Individual,Automatic,2,2.62
Ford Figo,2016,6.9,69642,CNG,Individual,Manual,3,1.91
Kia Seltos,2005,19.1,92088,CNG,Individual,Automatic,3,4.11
Hyundai Verna,2009,7.76,163128,CNG,Dealer,Automatic,2,1.74
Hyundai Verna,2015,7.6,187179,CNG,Individual,Manual,2,2.92
Toyota Corolla,2016,4.49,152810,Petrol,Dealer,Manual,3,2.95
Toyota Corolla,2019,16.46,186622,Petrol,Individual,Automatic,1,9.51
Tata Nexon,2013,14.03,192494,Diesel,Individual,Manual,3,8.41
Mahindra XUV500,2023,9.51,137805,CNG,Individual,Manual,2,6.65
Hyundai Verna,2007,4.41,70072,CNG,Individual,Manual,0,1.38
Mahindra XUV500,2015,19.4,117841,Petrol,Dealer,Manual,2,6.13
Kia Seltos,2022,12.66,155794,Petrol,Individual,Automatic,3,6.88
Hyundai i20,2021,5.14,11438,Diesel,Dealer,Automatic,3,3.99
Toyota Corolla,2008,17.05,196404,Petrol,Individual,Automatic,2,5.08
Maruti Swift,2021,10.95,129823,Petrol,Individual,Automatic,2,3.39
Mahindra XUV500,2008,2.9,94935,CNG,Dealer,Manual,1,0.92
Hyundai Verna,2010,8.29,116770,Diesel,Dealer,Automatic,1,1.98
Toyota Corolla,2017,3.01,165984,Petrol,Individual,Automatic,3,0.72
Tata Nexon,2011,7.37,189486,Petrol,Dealer,Manual,2,2.23
Maruti Alto,2008,7.09,133315,CNG,Individual,Automatic,3,2.4
Toyota Corolla,2016,17.3,166837,Petrol,Individual,Manual,1,6.42
Kia Seltos,2014,4.55,102859,CNG,Dealer,Automatic,3,2.1
Honda City,2017,9.9,132577,CNG,Dealer,Manual,3,3.7
Hyundai Verna,2015,17.23,167374,Petrol,Individual,Manual,3,4.8
Hyundai i20,2022,11.35,134753,Diesel,Individual,Automatic,3,6.33
Honda City,2023,3.04,62810,Diesel,Dealer,Automatic,1,1.84
Maruti Alto,2019,12.4,134843,CNG,Dealer,Manual,2,8.06
Toyota Corolla,2022,16.9,15907,CNG,Individual,Manual,3,5.74
Hyundai i20,2014,17.81,13449,Diesel,Individual,Automatic,0,7.02
Toyota Corolla,2012,6.17,198360,CNG,Individual,Automatic,1,2.64
Ford Figo,2011,16.6,154441,Diesel,Individual,Manual,2,8.99
Ford Figo,2014,12.52,139850,CNG,Dealer,Manual,3,7.46
Hyundai Verna,2009,14.77,39784,Petrol,Dealer,Automatic,1,6.15
Hyundai i20,2020,4.99,170780,Diesel,Individual,Automatic,3,1.52
Maruti Swift,2017,11.52,77935,CNG,Individual,Automatic,3,4.52
Hyundai Verna,2007,15.29,125179,CNG,Individual,Manual,3,3.23
Maruti Swift,2011,11.16,89637,Diesel,Individual,Manual,3,5.26
Hyundai Verna,2006,4.24,125476,Petrol,Dealer,Manual,3,1.12
Maruti Alto,2011,19.92,39580,CNG,Individual,Manual,2,4.33
Toyota Corolla,2013,3.94,179196,CNG,Dealer,Manual,3,1.78
Kia Seltos,2018,13.97,189470,Petrol,Dealer,Manual,3,3.97
Hyundai Verna,2012,11.59,121671,Petrol,Dealer,Automatic,0,6.62
Ford Figo,2009,10.86,65017,Diesel,Dealer,Manual,0,2.91
Honda City,2009,9.2,39903,CNG,Dealer,Manual,0,3.37
Hyundai i20,2019,8.65,60851,CNG,Dealer,Automatic,3,6.0
Honda City,2008,4.95,37284,CNG,Individual,Automatic,3,1.26
Kia Seltos,2012,7.35,27085,Petrol,Individual,Manual,2,1.99
Toyota Corolla,2021,5.8,107695,Diesel,Dealer,Manual,3,2.81
Kia Seltos,2020,13.67,23615,CNG,Dealer,Automatic,2,4.56
Maruti Swift,2018,8.89,184029,Petrol,Individual,Manual,0,4.76
Hyundai i20,2013,6.28,20851,Diesel,Individual,Automatic,3,3.03
Toyota Corolla,2022,11.91,45024,Diesel,Dealer,Automatic,0,6.79
Toyota Corolla,2009,11.89,107427,CNG,Dealer,Automatic,3,4.83
Honda City,2006,6.78,118897,Petrol,Individual,Manual,2,2.18
Mahindra XUV500,2008,2.72,40969,CNG,Dealer,Manual,3,1.23
Ford Figo,2021,16.2,193944,Diesel,Dealer,Automatic,1,11.05
Kia Seltos,2008,16.0,12695,Diesel,Individual,Automatic,0,3.81
Ford Figo,2007,11.18,138898,Diesel,Dealer,Automatic,1,2.85
Maruti Swift,2008,18.15,181716,CNG,Dealer,Manual,0,3.08
Hyundai Verna,2012,3.3,100414,Diesel,Dealer,Manual,0,1.33
Hyundai i20,2012,8.13,114119,CNG,Individual,Automatic,0,3.35
Tata Nexon,2021,14.28,18807,Petrol,Dealer,Manual,3,4.44
Ford Figo,2014,16.04,86447,Diesel,Dealer,Automatic,0,5.85
Tata Nexon,2023,16.23,198875,CNG,Dealer,Automatic,2,10.31
Mahindra XUV500,2011,15.32,148277,Petrol,Dealer,Manual,3,2.94
Ford Figo,2016,13.63,186786,Petrol,Individual,Manual,3,8.38
Hyundai i20,2008,6.09,67434,Diesel,Individual,Manual,1,2.3
Mahindra XUV500,2006,18.62,141251,Diesel,Individual,Automatic,0,5.55
Ford Figo,2009,13.65,108376,Petrol,Dealer,Automatic,1,3.32
Hyundai i20,2015,18.71,108010,CNG,Individual,Automatic,3,6.33
Maruti Alto,2011,4.88,158277,Petrol,Dealer,Manual,1,1.7
Hyundai i20,2018,4.61,98922,Petrol,Individual,Automatic,3,1.74
Toyota Corolla,2007,5.26,184845,Diesel,Dealer,Manual,2,1.0
Hyundai Verna,2016,9.43,17832,CNG,Individual,Automatic,1,2.28
Honda City,2019,12.23,149210,Petrol,Dealer,Automatic,0,8.13
Hyundai i20,2008,2.71,63271,Petrol,Dealer,Automatic,2,1.0
Hyundai i20,2023,12.76,24657,Petrol,Dealer,Manual,3,9.72
Hyundai Verna,2015,4.64,125847,Petrol,Dealer,Automatic,3,2.02
Maruti Swift,2018,5.52,61286,Petrol,Individual,Automatic,3,3.76
Honda City,2012,13.83,135781,Diesel,Individual,Manual,0,4.14
Tata Nexon,2018,5.99,142839,Petrol,Dealer,Automatic,2,2.89
Kia Seltos,2016,18.47,136699,Diesel,Individual,Automatic,1,4.43
Hyundai i20,2012,3.01,78644,Petrol,Individual,Automatic,1,1.7
Honda City,2012,14.0,74868,CNG,Dealer,Manual,3,4.6
